key,project,value,severity
824,1,2,CRITICAL
824,2,2,CRITICAL
824,3,2,CRITICAL
824,4,3,CRITICAL
824,5,2,CRITICAL
824,6,4,CRITICAL
824,7,4,CRITICAL
824,8,4,CRITICAL
824,9,3,CRITICAL
824,10,3,CRITICAL
824,11,3,CRITICAL
788,1,16,MINOR
788,2,16,MINOR
788,3,31,MINOR
788,4,28,MINOR
788,5,35,MINOR
788,6,52,MINOR
788,7,52,MINOR
788,8,52,MINOR
788,9,51,MINOR
788,10,51,MINOR
788,11,51,MINOR
770,1,1,MAJOR
770,2,1,MAJOR
770,3,0,MAJOR
770,4,0,MAJOR
770,5,0,MAJOR
770,6,0,MAJOR
770,7,0,MAJOR
770,8,0,MAJOR
770,9,0,MAJOR
770,10,0,MAJOR
770,11,0,MAJOR
673,1,10,MAJOR
673,2,10,MAJOR
673,3,24,MAJOR
673,4,74,MAJOR
673,5,57,MAJOR
673,6,62,MAJOR
673,7,62,MAJOR
673,8,62,MAJOR
673,9,61,MAJOR
673,10,61,MAJOR
673,11,58,MAJOR
708,1,7,MAJOR
708,2,7,MAJOR
708,3,6,MAJOR
708,4,6,MAJOR
708,5,6,MAJOR
708,6,6,MAJOR
708,7,6,MAJOR
708,8,6,MAJOR
708,9,7,MAJOR
708,10,7,MAJOR
708,11,7,MAJOR
740,1,1,MAJOR
740,2,1,MAJOR
740,3,3,MAJOR
740,4,7,MAJOR
740,5,9,MAJOR
740,6,11,MAJOR
740,7,11,MAJOR
740,8,12,MAJOR
740,9,13,MAJOR
740,10,13,MAJOR
740,11,13,MAJOR
709,1,6,MAJOR
709,2,6,MAJOR
709,3,7,MAJOR
709,4,7,MAJOR
709,5,7,MAJOR
709,6,10,MAJOR
709,7,13,MAJOR
709,8,14,MAJOR
709,9,16,MAJOR
709,10,16,MAJOR
709,11,16,MAJOR
687,1,19,MAJOR
687,2,19,MAJOR
687,3,31,MAJOR
687,4,29,MAJOR
687,5,38,MAJOR
687,6,56,MAJOR
687,7,56,MAJOR
687,8,56,MAJOR
687,9,52,MAJOR
687,10,57,MAJOR
687,11,57,MAJOR
834,1,16,MAJOR
834,2,16,MAJOR
834,3,36,MAJOR
834,4,36,MAJOR
834,5,36,MAJOR
834,6,27,MAJOR
834,7,27,MAJOR
834,8,27,MAJOR
834,9,12,MAJOR
834,10,52,MAJOR
834,11,52,MAJOR
781,1,63,MAJOR
781,2,63,MAJOR
781,3,80,MAJOR
781,4,120,MAJOR
781,5,126,MAJOR
781,6,196,MAJOR
781,7,199,MAJOR
781,8,200,MAJOR
781,9,213,MAJOR
781,10,225,MAJOR
781,11,88,MAJOR
796,1,10,MAJOR
796,2,10,MAJOR
796,3,14,MAJOR
796,4,22,MAJOR
796,5,21,MAJOR
796,6,29,MAJOR
796,7,30,MAJOR
796,8,30,MAJOR
796,9,29,MAJOR
796,10,28,MAJOR
796,11,28,MAJOR
742,1,1,MAJOR
742,2,1,MAJOR
742,3,1,MAJOR
742,4,5,MAJOR
742,5,4,MAJOR
742,6,5,MAJOR
742,7,5,MAJOR
742,8,5,MAJOR
742,9,5,MAJOR
742,10,5,MAJOR
742,11,5,MAJOR
680,1,57,MINOR
680,2,57,MINOR
680,3,74,MINOR
680,4,118,MINOR
680,5,108,MINOR
680,6,143,MINOR
680,7,149,MINOR
680,8,150,MINOR
680,9,148,MINOR
680,10,160,MINOR
680,11,158,MINOR
760,1,16,MAJOR
760,2,16,MAJOR
760,3,16,MAJOR
760,4,19,MAJOR
760,5,19,MAJOR
760,6,27,MAJOR
760,7,27,MAJOR
760,8,27,MAJOR
760,9,26,MAJOR
760,10,33,MAJOR
760,11,32,MAJOR
649,1,48,MAJOR
649,2,48,MAJOR
649,3,57,MAJOR
649,4,80,MAJOR
649,5,97,MAJOR
649,6,155,MAJOR
649,7,154,MAJOR
649,8,154,MAJOR
649,9,139,MAJOR
649,10,131,MAJOR
649,11,133,MAJOR
815,1,15,MAJOR
815,2,15,MAJOR
815,3,26,MAJOR
815,4,37,MAJOR
815,5,32,MAJOR
815,6,38,MAJOR
815,7,38,MAJOR
815,8,40,MAJOR
815,9,44,MAJOR
815,10,46,MAJOR
815,11,46,MAJOR
774,1,2,MAJOR
774,2,2,MAJOR
774,3,1,MAJOR
774,4,3,MAJOR
774,5,4,MAJOR
774,6,6,MAJOR
774,7,6,MAJOR
774,8,6,MAJOR
774,9,6,MAJOR
774,10,6,MAJOR
774,11,6,MAJOR
842,1,1,MAJOR
842,2,2,MAJOR
842,3,1,MAJOR
842,4,11,MAJOR
842,5,11,MAJOR
842,6,11,MAJOR
842,7,10,MAJOR
842,8,16,MAJOR
842,9,6,MAJOR
842,10,0,MAJOR
842,11,0,MAJOR
641,1,185,MAJOR
641,2,185,MAJOR
641,3,236,MAJOR
641,4,303,MAJOR
641,5,327,MAJOR
641,6,387,MAJOR
641,7,402,MAJOR
641,8,404,MAJOR
641,9,406,MAJOR
641,10,408,MAJOR
641,11,406,MAJOR
819,1,42,MAJOR
819,2,42,MAJOR
819,3,51,MAJOR
819,4,73,MAJOR
819,5,70,MAJOR
819,6,127,MAJOR
819,7,125,MAJOR
819,8,124,MAJOR
819,9,122,MAJOR
819,10,103,MAJOR
819,11,94,MAJOR
835,1,107,MAJOR
835,2,107,MAJOR
835,3,147,MAJOR
835,4,206,MAJOR
835,5,211,MAJOR
835,6,234,MAJOR
835,7,236,MAJOR
835,8,236,MAJOR
835,9,237,MAJOR
835,10,223,MAJOR
835,11,224,MAJOR
710,1,255,MAJOR
710,2,255,MAJOR
710,3,286,MAJOR
710,4,386,MAJOR
710,5,411,MAJOR
710,6,699,MAJOR
710,7,697,MAJOR
710,8,698,MAJOR
710,9,681,MAJOR
710,10,43,MAJOR
710,11,38,MAJOR
756,1,2,MAJOR
756,2,2,MAJOR
756,3,2,MAJOR
756,4,2,MAJOR
756,5,2,MAJOR
756,6,2,MAJOR
756,7,2,MAJOR
756,8,2,MAJOR
756,9,0,MAJOR
756,10,0,MAJOR
756,11,0,MAJOR
423,1,82,MAJOR
423,2,82,MAJOR
423,3,91,MAJOR
423,4,173,MAJOR
423,5,147,MAJOR
423,6,208,MAJOR
423,7,211,MAJOR
423,8,212,MAJOR
423,9,212,MAJOR
423,10,240,MAJOR
423,11,245,MAJOR
790,1,40,MAJOR
790,2,40,MAJOR
790,3,83,MAJOR
790,4,101,MAJOR
790,5,101,MAJOR
790,6,114,MAJOR
790,7,110,MAJOR
790,8,108,MAJOR
790,9,119,MAJOR
790,10,126,MAJOR
790,11,125,MAJOR
837,1,2,INFO
837,2,2,INFO
837,3,4,INFO
837,4,5,INFO
837,5,5,INFO
837,6,10,INFO
837,7,10,INFO
837,8,10,INFO
837,9,10,INFO
837,10,8,INFO
837,11,8,INFO
779,1,1,MAJOR
779,2,6,MAJOR
779,3,6,MAJOR
779,4,7,MAJOR
779,5,7,MAJOR
779,6,0,MAJOR
779,7,0,MAJOR
