id,value,severity
src,,
src/main,,
src/main/java,,
src/main/java/net,,
src/main/java/net/n3,,
src/main/java/net/n3/nanoxml,,
src/main/java/net/n3/nanoxml/CDATAReader.java,9,4
src/main/java/net/n3/nanoxml/ContentReader.java,14,4
src/main/java/net/n3/nanoxml/IXMLBuilder.java,9,3
src/main/java/net/n3/nanoxml/IXMLElement.java,8,3
src/main/java/net/n3/nanoxml/IXMLEntityResolver.java,2,2
src/main/java/net/n3/nanoxml/IXMLParser.java,2,2
src/main/java/net/n3/nanoxml/IXMLReader.java,2,3
src/main/java/net/n3/nanoxml/IXMLValidator.java,9,3
src/main/java/net/n3/nanoxml/NonValidator.java,18,4
src/main/java/net/n3/nanoxml/package-info.java,1,2
src/main/java/net/n3/nanoxml/PIReader.java,6,4
src/main/java/net/n3/nanoxml/StdXMLBuilder.java,6,4
src/main/java/net/n3/nanoxml/StdXMLParser.java,33,4
src/main/java/net/n3/nanoxml/StdXMLReader.java,22,4
src/main/java/net/n3/nanoxml/ValidatorPlugin.java,4,4
src/main/java/net/n3/nanoxml/XMLElement.java,21,5
src/main/java/net/n3/nanoxml/XMLEntityResolver.java,5,4
src/main/java/net/n3/nanoxml/XMLException.java,12,4
src/main/java/net/n3/nanoxml/XMLParserFactory.java,8,3
src/main/java/net/n3/nanoxml/XMLUtil.java,17,3
src/main/java/net/n3/nanoxml/XMLValidationException.java,6,4
src/main/java/net/n3/nanoxml/XMLWriter.java,7,4
src/main/java/org,,
src/main/java/org/jhotdraw,,
src/main/java/org/jhotdraw/app,,
src/main/java/org/jhotdraw/app/AbstractApplication.java,28,4
src/main/java/org/jhotdraw/app/AbstractApplicationModel.java,8,3
src/main/java/org/jhotdraw/app/AbstractView.java,4,3
src/main/java/org/jhotdraw/app/action,,
src/main/java/org/jhotdraw/app/action/AbstractApplicationAction.java,3,3
src/main/java/org/jhotdraw/app/action/AbstractSaveUnsavedChangesAction.java,3,3
src/main/java/org/jhotdraw/app/action/AbstractViewAction.java,8,3
src/main/java/org/jhotdraw/app/action/ActionUtil.java,7,3
src/main/java/org/jhotdraw/app/action/app,,
src/main/java/org/jhotdraw/app/action/app/AboutAction.java,1,2
src/main/java/org/jhotdraw/app/action/app/AbstractPreferencesAction.java,1,2
